TranscriptID	gafu<1>	neva<2>	enqua<3>	hemag<4>	stgag<5>	sthad<6>	hehe<7>	stmer<8>	heau<9>	hecri<10>	mado<11>	acte<12>	ando<13>	oula<14>	chfle<15>	chfus<16>	sama<17>	cyca<18>	neno<19>	hyva<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>
OG0003441	[30-30]	[7-7]	[7-7]	[9-9]	[14-14]	[6-6]	[10-10]	[13-13]	[13-13]	[14-14]	[8-8]	[3-3]	[3-3]	[6-6]	[1-1]	[2-2]	[3-3]	[8-8]	[3-3]	[42-42]	[3.24716-20.5688]	[4.8782-25.2129]	[3.38746-16.1801]	[4.69023-12.6843]	[4.8782-12.6843]	[5.91539-16.7476]	[4.69023-17.9395]	[3.99656-20.5688]	[5.07238-25.2129]	[3.68212-11.0161]	[6.14384-21.2813]	[6.37983-27.8974]	[1.6946-7.96878]	[1.60843-10.2599]	[2.38296-15.6307]	[0.453174-6.62361]	[1.52502-7.68198]	[1.78361-7.96878]	[0.884665-5.48019]
OG0001834	[4-4]	[4-4]	[1-1]	[6-6]	[4-4]	[8-8]	[5-5]	[12-12]	[4-4]	[4-4]	[1-1]	[1-1]	[1-1]	[1-1]	[1-1]	[0-0]	[4-4]	[3-3]	[3-3]	[6-6]	[0.709584-7.96878]	[1.01124-8.26506]	[1.07768-7.1356]	[1.52502-5.07238]	[1.87557-5.48019]	[3.83678-11.0161]	[2.72941-11.4131]	[2.27478-13.1364]	[3.24716-17.3339]	[0.601995-3.24716]	[1.14631-5.48019]	[1.52502-9.2139]	[0.0499578-2.61015]	[0.0499578-3.11134]	[0.501178-6.87545]	[0.120472-4.8782]	[0.709584-4.69023]	[0.501178-4.16162]	[0.195722-3.24716]
OG0005127	[3-3]	[1-1]	[2-2]	[2-2]	[2-2]	[2-2]	[2-2]	[2-2]	[2-2]	[3-3]	[1-1]	[1-1]	[1-1]	[1-1]	[1-1]	[1-1]	[1-1]	[4-4]	[3-3]	[5-5]	[0.235221-5.91539]	[0.195722-5.07238]	[0.195722-3.83678]	[0.709584-3.24716]	[0.766058-2.97987]	[0.884665-3.83678]	[0.654916-4.50827]	[0.406705-5.27297]	[0.406705-5.27297]	[0.361722-2.72941]	[0.601995-4.16162]	[0.766058-5.91539]	[0.0499578-2.61015]	[0.0499578-3.11134]	[0.406705-6.62361]	[0.120472-4.8782]	[0.709584-4.8782]	[0.501178-4.16162]	[0.0499578-2.72941]
OG0004530	[21-21]	[6-6]	[8-8]	[5-5]	[10-10]	[7-7]	[9-9]	[8-8]	[22-22]	[11-11]	[6-6]	[4-4]	[7-7]	[8-8]	[8-8]	[4-4]	[7-7]	[4-4]	[16-16]	[15-15]	[3.83678-22.7777]	[4.16162-22.7777]	[3.24716-15.6307]	[4.8782-13.1364]	[4.8782-12.6843]	[4.50827-12.6843]	[3.53239-13.6033]	[3.53239-18.5652]	[3.68212-18.5652]	[4.8782-13.6033]	[6.14384-21.2813]	[7.40435-31.9091]	[2.97987-12.2467]	[3.11134-16.7476]	[3.68212-22.0174]	[2.85261-18.5652]	[3.53239-14.0857]	[2.27478-9.55131]	[2.38296-11.0161]
OG0005656	[7-7]	[4-4]	[5-5]	[7-7]	[9-9]	[12-12]	[5-5]	[11-11]	[5-5]	[4-4]	[2-2]	[1-1]	[1-1]	[4-4]	[1-1]	[1-1]	[9-9]	[1-1]	[4-4]	[4-4]	[1.07768-9.55131]	[1.87557-11.8231]	[1.78361-9.89986]	[2.61015-7.68198]	[2.61015-7.40435]	[5.07238-14.0857]	[4.69023-17.3339]	[4.50827-22.7777]	[3.11134-16.7476]	[1.14631-4.50827]	[1.60843-6.87545]	[1.78361-9.89986]	[0.406705-3.99656]	[0.453174-5.69426]	[0.453174-6.62361]	[0.235221-5.69426]	[1.07768-5.91539]	[0.824398-5.07238]	[1.44428-7.40435]
OG0007221	[43-43]	[5-5]	[12-12]	[20-20]	[19-19]	[16-16]	[12-12]	[20-20]	[28-28]	[26-26]	[6-6]	[8-8]	[16-16]	[24-24]	[8-8]	[6-6]	[40-40]	[4-4]	[11-11]	[116-116]	[7.96878-43.0907]	[7.40435-37.7159]	[5.48019-24.3746]	[9.89986-25.2129]	[10.6319-25.2129]	[10.6319-27.8974]	[9.55131-34.1193]	[7.96878-37.7159]	[7.1356-32.9962]	[9.55131-25.2129]	[9.2139-29.8381]	[13.1364-54.3541]	[7.68198-27.8974]	[8.88729-41.6808]	[8.88729-47.6061]	[3.68212-22.7777]	[5.07238-19.8791]	[4.8782-18.5652]	[8.26506-30.8568]
OG0007198	[18-18]	[4-4]	[4-4]	[13-13]	[24-24]	[15-15]	[10-10]	[31-31]	[8-8]	[8-8]	[2-2]	[7-7]	[8-8]	[8-8]	[2-2]	[3-3]	[5-5]	[3-3]	[2-2]	[3-3]	[1.87557-13.1364]	[3.99656-21.2813]	[3.24716-15.6307]	[5.48019-14.5841]	[6.62361-16.1801]	[10.6319-27.8974]	[8.88729-31.9091]	[8.88729-40.316]	[8.26506-37.7159]	[3.68212-11.0161]	[2.61015-10.2599]	[3.53239-17.3339]	[3.83678-15.0989]	[3.38746-17.9395]	[0.601995-7.1356]	[0.550768-7.1356]	[1.21721-6.37983]	[1.52502-7.40435]	[1.6946-8.26506]
OG0004317	[8-8]	[4-4]	[1-1]	[2-2]	[3-3]	[2-2]	[5-5]	[5-5]	[2-2]	[1-1]	[0-0]	[2-2]	[1-1]	[1-1]	[1-1]	[3-3]	[4-4]	[2-2]	[6-6]	[8-8]	[0.946923-8.88729]	[1.01124-8.26506]	[0.601995-5.27297]	[0.709584-3.24716]	[0.884665-3.38746]	[1.6946-5.69426]	[0.824398-5.07238]	[0.654916-6.14384]	[1.97056-11.4131]	[0.120472-2.27478]	[0.0499578-2.17006]	[0.157486-3.99656]	[0.120472-3.24716]	[0.0499578-3.11134]	[1.07768-9.2139]	[0.453174-6.62361]	[1.60843-7.68198]	[1.14631-6.14384]	[1.44428-7.40435]
OG0005126	[28-28]	[40-40]	[16-16]	[19-19]	[42-42]	[28-28]	[27-27]	[20-20]	[22-22]	[41-41]	[28-28]	[4-4]	[3-3]	[6-6]	[1-1]	[4-4]	[6-6]	[2-2]	[10-10]	[16-16]	[4.50827-26.9733]	[10.2599-49.2118]	[9.89986-41.6808]	[10.2599-26.0788]	[10.6319-25.2129]	[16.1801-43.0907]	[15.0989-52.584]	[16.1801-73.1619]	[10.6319-49.2118]	[6.37983-17.3339]	[16.1801-52.584]	[14.5841-62.0388]	[1.87557-8.57112]	[1.60843-10.2599]	[1.87557-13.1364]	[0.766058-8.26506]	[2.38296-10.2599]	[1.52502-7.40435]	[2.17006-10.2599]
OG0001094	[6-6]	[3-3]	[3-3]	[7-7]	[13-13]	[6-6]	[14-14]	[23-23]	[8-8]	[7-7]	[4-4]	[2-2]	[0-0]	[1-1]	[1-1]	[0-0]	[1-1]	[0-0]	[2-2]	[1-1]	[0.235221-5.91539]	[1.6946-11.0161]	[1.6946-9.55131]	[2.72941-7.96878]	[3.11134-8.26506]	[6.87545-18.5652]	[4.16162-16.1801]	[3.83678-19.8791]	[8.26506-38.9948]	[1.14631-4.33213]	[3.11134-11.8231]	[3.24716-16.1801]	[0.0499578-2.27478]	[0.0163827-1.97056]	[0.0163827-2.61015]	[0.0163827-2.61015]	[0.0163827-1.97056]	[0.0163827-1.29045]	[0.0163827-1.6946]
OG0007111	[5-5]	[8-8]	[4-4]	[3-3]	[8-8]	[7-7]	[3-3]	[6-6]	[6-6]	[4-4]	[2-2]	[10-10]	[13-13]	[12-12]	[2-2]	[3-3]	[10-10]	[2-2]	[5-5]	[17-17]	[2.06869-14.0857]	[2.27478-13.6033]	[2.72941-13.6033]	[3.38746-9.55131]	[3.68212-9.89986]	[2.85261-8.57112]	[2.61015-11.0161]	[3.11134-16.7476]	[1.60843-10.2599]	[4.16162-11.8231]	[1.6946-7.40435]	[1.97056-11.0161]	[5.91539-22.0174]	[5.48019-26.9733]	[2.06869-13.6033]	[0.884665-8.88729]	[1.87557-8.88729]	[1.78361-7.96878]	[2.61015-11.4131]
OG0004548	[90-90]	[43-43]	[48-48]	[39-39]	[34-34]	[42-42]	[32-32]	[48-48]	[49-49]	[37-37]	[17-17]	[16-16]	[36-36]	[49-49]	[9-9]	[7-7]	[22-22]	[9-9]	[24-24]	[52-52]	[13.1364-70.7903]	[22.0174-105.033]	[18.5652-75.6117]	[22.7777-56.1826]	[22.7777-52.584]	[24.3746-62.0388]	[20.5688-70.7903]	[17.9395-80.7569]	[18.5652-83.4576]	[19.2115-50.8705]	[17.3339-56.1826]	[21.2813-86.2476]	[16.1801-56.1826]	[19.8791-89.1297]	[8.26506-43.0907]	[4.8782-28.8519]	[7.40435-26.9733]	[5.69426-21.2813]	[6.37983-24.3746]
OG0002875	[4-4]	[4-4]	[7-7]	[2-2]	[4-4]	[5-5]	[5-5]	[6-6]	[5-5]	[3-3]	[2-2]	[3-3]	[1-1]	[2-2]	[14-14]	[2-2]	[3-3]	[1-1]	[2-2]	[3-3]	[1.14631-9.89986]	[1.29045-9.2139]	[1.36612-8.26506]	[1.97056-6.14384]	[1.78361-5.27297]	[2.27478-7.40435]	[1.52502-7.1356]	[1.6946-10.2599]	[2.17006-12.6843]	[1.14631-4.50827]	[1.36612-6.37983]	[1.52502-8.88729]	[0.501178-4.33213]	[0.120472-4.16162]	[1.21721-9.89986]	[1.36612-11.0161]	[0.550768-4.33213]	[0.550768-4.16162]	[0.884665-5.48019]
OG0006931	[12-12]	[3-3]	[12-12]	[7-7]	[11-11]	[8-8]	[6-6]	[8-8]	[15-15]	[10-10]	[3-3]	[4-4]	[6-6]	[8-8]	[3-3]	[4-4]	[26-26]	[3-3]	[11-11]	[28-28]	[3.24716-19.8791]	[2.97987-17.3339]	[2.61015-13.1364]	[4.69023-12.6843]	[4.50827-11.4131]	[4.69023-13.1364]	[4.33213-16.7476]	[4.16162-20.5688]	[2.85261-15.6307]	[3.83678-11.4131]	[4.16162-14.5841]	[5.69426-26.0788]	[2.72941-11.4131]	[2.85261-15.6307]	[3.83678-22.0174]	[1.97056-14.0857]	[3.99656-15.6307]	[3.38746-13.1364]	[5.27297-21.2813]
OG0007115	[19-19]	[3-3]	[5-5]	[7-7]	[9-9]	[7-7]	[4-4]	[6-6]	[9-9]	[8-8]	[2-2]	[9-9]	[4-4]	[5-5]	[1-1]	[3-3]	[8-8]	[6-6]	[6-6]	[4-4]	[1.78361-12.6843]	[2.97987-16.7476]	[2.06869-10.6319]	[3.38746-9.55131]	[3.68212-9.55131]	[3.68212-11.0161]	[3.83678-14.5841]	[3.38746-17.3339]	[1.87557-11.4131]	[3.24716-9.55131]	[2.72941-10.6319]	[3.83678-17.9395]	[2.72941-11.4131]	[1.6946-10.6319]	[1.01124-8.88729]	[0.824398-8.57112]	[2.61015-11.0161]	[2.49471-10.6319]	[2.27478-10.2599]
OG0006073	[11-11]	[2-2]	[6-6]	[5-5]	[6-6]	[6-6]	[6-6]	[6-6]	[8-8]	[8-8]	[2-2]	[2-2]	[2-2]	[3-3]	[1-1]	[2-2]	[4-4]	[6-6]	[5-5]	[0-0]	[0.709584-7.68198]	[1.87557-12.2467]	[1.44428-8.57112]	[2.61015-7.68198]	[2.61015-7.1356]	[3.38746-9.89986]	[2.72941-11.4131]	[2.38296-13.6033]	[2.38296-13.6033]	[1.78361-6.14384]	[2.61015-10.2599]	[3.53239-17.3339]	[0.824398-5.07238]	[0.654916-6.37983]	[0.120472-4.33213]	[0.550768-7.40435]	[1.87557-8.57112]	[1.6946-7.96878]	[1.07768-6.37983]
OG0006565	[7-7]	[1-1]	[5-5]	[9-9]	[10-10]	[6-6]	[8-8]	[7-7]	[9-9]	[7-7]	[2-2]	[2-2]	[3-3]	[5-5]	[1-1]	[2-2]	[4-4]	[1-1]	[4-4]	[7-7]	[1.07768-9.55131]	[1.60843-10.6319]	[1.36612-8.26506]	[3.24716-9.2139]	[3.38746-8.88729]	[4.69023-13.1364]	[4.16162-15.6307]	[3.24716-17.3339]	[3.11134-16.7476]	[2.17006-6.87545]	[2.61015-9.89986]	[3.53239-16.7476]	[1.29045-6.62361]	[1.36612-9.2139]	[0.709584-7.68198]	[0.195722-5.48019]	[0.946923-5.69426]	[0.654916-4.50827]	[1.07768-6.37983]
