TranscriptID	hyva<1>	chfle<2>	neno<3>	cyca<4>	sama<5>	chfus<6>	isnoc<7>	pabor<8>	cebra<9>	gafa<10>	gopla<11>	gonor<12>	golob<13>	nema<14>	exadia<15>	enqua<16>	hehe<17>	stmer<18>	hemag<19>	stgag<20>	sthad<21>	acte<22>	ando<23>	oula<24>	macdac<25>	heaur<26>	hecri<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>
OG0001999	-205.401	-98.7637	+5865.95*	+26.5765	+411.119	-70.881*	+263.921	-121.949	+128.051	+199.249	-109.624	-39.6997	+63.3003	+1662.41	-9.07093	-133.071	+620.366*	-119.011	+116.947	+28.0481	-40.9519	-153.124	-156.014	+396.986	+55.145	+62.1934	-67.8066	+0	+238.454	-202.091	+56.2889	-263.629	-11.5425	+301.489	+279.735	-130.131	-126.216	+92.6231	-148.127	+85.0754	-81.5355	-254.521	+0	+46.9244	+72.6386	-185.623	+81.0419	-43.1007	-31.9428	-68.9283	+117.89	+145.802	-21.0484
OG0003649	-222.978	+3231.08	+175.26	+943.166	+3822.5	-792.496	+122.696	+699.022	-509.978	+128.478	+916.921	-225.555	+301.445	+1609.7	+664.537	-176.079	+952.051	-271.624	+129.656	+20.4445	-18.5555	-761.463	+154.522	-302.478	-408.522	+553.401	-370.599	+0	+153.922	+350.022	-775.183	-60.9055	-404.338	-295.302	+216.705	-75.3259	-129.859	-280.218	-96.4425	-345.524	+346.564	-465.841	-257.384	+47.1967	-177.327	-331.325	+181.72	-65.7886	+154.244	+55.9425	+712.015	-104.999	+410.077
OG0003499	+1064.21	-189.328*	+2765.24	+1347.26	+1776.5	-630.496	-253.401*	-1010.91	+2136.09	+1281.09	-397.521	+596.214	-444.786	-233.304	-585.909	-1202.55	+1436.54	+24.3169	-1040.68	-879.333	+1105.67	+1611.19	-285.762	+361.238	-661.023	+548.863	-516.137	+0	-226.014	-236.444	+1955.43	-682.022	-465.244	+490.359	-649.73	+1703.51	+971.769	+82.0086	-682.388	+374.266	-78.5963	+160.605	+466.644	+577.13	+713.775	-713.775	+0	+875.65	-360.877	+0	-508.044	+115.218	+513.113
OG0003488	+1678.26	+242.504	+5239.87*	-319.685*	+1248.48	-631.522	+3614.99*	-43.8691*	+1995.13*	-220.909	-451.762	-365.806	+295.194	-512.683	-329.137	-661.319	+3348.46	-2503.33	-514.294	-1078.52	+1100.48	+4156.76	-500.9	+1003.1	+1910.52	-998.521*	+4516.48*	+0	-421.893	-43.3508	-81.3651	-541.446	+807.837	+45.2329	-808.069	-234.142	+1350.47	-466.644	+174.853	+508.044	+577.13	+267.454	+291.182	+155.139	+2750.08	-1458.21	+2032.97	+306.226	-1185.08	+345.861	-1000.34	-486.904	-767.957
OG0000757	-73.7329	-122.344	+260.031	+5883.66*	+2511.4*	-207.597*	+685.249	+16.1934	-25.8066	+15.7864	-17.3282	+10.4085	-14.5915	-162.995	-238.807	+38.3003	-363.733*	-405.496	-467.521	-657.786	+1019.21	+1165.4	+462.478	-439.522	-99.7127	+73.9857	-54.0143	+0	+23.9107	+232.701	+71.6252	-71.6252	-581.747	-165.629	+364.737	-288.944	-130.004	-71.7971	-16.8854	+8.2633	+112.985	+92.8112	+225.893	+0	-159.967	+447.763	+290.025	+374.266	+168.27	+714.629	-410.077	-548.257	+78.3016
OG0003093	-105.833	-150.21	+400.315	+174.599	+579.408	-149.592	-34.3915	+234.599	-128.401	+140.214	+42.2671	-87.855	+103.145	+208.599	+770.786*	-20.9642	-31.2128*	-39.4235	-36.2533	+83.5115	-53.4885	+3336.73*	+54.3686	-39.6314	-13.4158	+12.3889	-10.6111	+0	+137.568	-51.1912	+159.475	-108.283	-68.8096	+63.3115	-95.3212	+32.0097	+78.3016	+243.772	-102.053	-44.878	-141.613	-60.1876	-129.249	+6.91676	-43.6681	+55.2107	+22.8298	+28.2351	+62.6075	+108.786	-187.643	-87.0727	+11.1953
OG0002567	+823.286	-2191.33	+5723.19	+12445.7	+2716.87	-1217.13	-5104.84	-405.245	-71.245	-426.978	-218.762	-312.128	+466.872	-10.288	-475.288	-3352.71	+3765.77	-2098.63*	-1459.29	-1064.97	+1468.03	-285.245	+4775.32	-4400.68	+1676.67	+2304.76	-1384.24	+0	-227.426	-217.963	+1739.48	-1739.48	-2684.2	+0	+7549.55	+5178.41	-2092.72	-1410.59	+410.784	+190.366	+2092.72	+0	+227.426	+2213.33	-3067.81	-1186.6	+1813.65	+970.68	+3109.61	+7177.59	-747.567	-5768.33	-961.089
OG0005589	+1507.37	+211.167	+864.651*	-2.8226	+719.056*	-25.9437*	-81.5662*	+442.193	-223.807	+94.8693	-201.969	+99.1534	-91.8466	+663.537	+664.724	-484.396	+544.051	-168.555	-147.396	-247.949	+298.051	+2450.02	+63.7238	-144.276	-136.396	+217.869	-175.131	+0	-219.023	-115.778	-48.484	-55.5265	+1.12112	+181.161	-338.206	+396.24	+707.504	-217.145	-38.1614	+162.877	+210.187	-210.187	-291.88	+291.88	-177.327	-215.393	+100.84	+114.553	+154.244	+446.457	-600.702	-446.125	+74.7349
OG0006329	-139.762	+76.4014	+5211.71	-542.751	+9380.4*	-1360.6*	+468.194	-345.128	+335.872	-830.244	-461.333	-658.236	+901.764	+323.366	+162.366	-1999.14	+7096.53*	-827.553	-539.683	+777.863	-613.137	+2215.46	-657.014	+1033.99	-434.023	+366.431	-268.569	+0	+93.1605	-645.324	-66.3089	-753.539	+819.848	+775.761	-360.877	-317.678	+130.886	-256.325	+1001.09	+168.903	+279.066	+0	-142.497	+1329.09	-375.759	-1797.92	+577.13	+267.454	+200.201	+1667.11	-775.524	-2042.41	+376.545
OG0000523	-93.7509	+498.947	+4784.39*	+298.584*	+387.99*	-19.0104*	+36.478	+1478.72	-648.276	-324.478	-537.553	-664.023	+983.977	+244.872	+477.238	-646.909	+5570.68*	-383.478	-243.922	-53.5531	+90.4469	-315.834	-233.786	+321.214	-407.9	+448.872	-409.128	+0	+68.6449	-482.343	-114.441	-185.195	-40.4054	+892.582	-551.456	-49.2458	+503.945	-182.445	+381.075	+331.47	+97.2052	-190.366	-174.853	+268.014	+1334.4	-1516.84	+182.445	+198.631	-645.324	-190.764	+259.952	+295.302	+447.228
