Description	Orthogroup	gafu	acte	ando	chfle	chfus	cyca	enqua	heau	hecri	hehe	hemag	hyva	mado	neno	neva	oula	sama	stgag	sthad	stmer
desc	OG0004465	18	4	6	3	4	7	5	7	8	9	8	64	2	13	1	11	8	12	4	4
desc	OG0004767	10	3	2	1	2	1	4	8	12	9	4	13	5	4	3	6	2	6	6	6
desc	OG0003698	39	4	4	3	5	1	13	10	11	8	26	0	6	3	7	100	3	15	18	27
desc	OG0004802	4	2	1	2	4	1	1	7	6	4	2	3	3	6	8	25	6	5	3	4
desc	OG0006884	34	5	10	7	4	2	21	21	22	14	18	11	8	13	58	9	7	25	23	22
desc	OG0004515	0	8	25	28	6	12	38	107	105	24	51	47	12	28	17	35	36	73	82	89
desc	OG0003705	16	2	1	1	2	1	2	6	6	6	4	26	2	6	12	1	2	4	5	6
desc	OG0004881	14	1	4	1	3	2	5	7	6	6	4	32	1	5	3	3	8	6	6	4
desc	OG0006978	7	8	8	2	2	1	10	10	8	7	11	6	6	6	6	9	6	13	14	12
desc	OG0004656	7	3	2	2	2	2	4	12	5	10	7	3	4	2	3	3	1	11	5	8
desc	OG0003608	8	1	1	0	2	1	2	4	3	6	2	3	1	3	6	2	1	2	2	6
desc	OG0006130	0	1	3	1	2	3	4	13	8	4	8	23	14	6	2	4	5	15	7	13
desc	OG0007269	8	1	1	1	4	5	14	7	2	3	11	5	1	5	2	4	2	12	4	12
desc	OG0005489	14	4	2	4	2	1	7	5	5	8	5	9	0	4	5	4	3	7	5	6
desc	OG0007120	8	5	9	1	3	5	8	4	2	4	11	8	3	1	0	7	2	8	8	4
desc	OG0003767	11	1	1	0	1	2	4	7	5	9	2	0	3	5	2	1	1	1	2	2
desc	OG0005777	7	3	4	2	3	2	6	13	10	14	23	16	4	5	3	6	10	18	13	16
desc	OG0004183	12	13	4	2	2	1	8	16	10	30	16	22	4	8	10	11	5	35	22	13
desc	OG0004695	7	1	5	3	2	2	2	11	8	4	10	3	3	2	1	2	1	8	11	10
desc	OG0006140	0	7	8	3	5	9	17	31	22	34	17	39	13	18	0	18	8	26	23	53
desc	OG0005543	25	1	4	1	2	2	4	7	10	8	5	2	4	4	9	3	2	17	14	6
desc	OG0006793	22	4	7	3	6	2	6	18	15	10	7	12	6	18	9	11	21	9	5	8
desc	OG0006683	54	9	19	2	4	2	8	19	18	12	11	7	2	9	14	15	9	31	23	21
desc	OG0002049	8	2	1	2	3	2	5	5	6	4	2	1	2	3	3	2	2	4	2	5
desc	OG0005976	14	2	2	1	2	6	6	8	4	4	4	2	2	3	3	4	1	6	5	6
desc	OG0005772	7	2	3	1	3	1	3	7	7	10	7	2	1	8	1	3	3	10	6	9
desc	OG0007243	12	4	1	2	2	3	4	8	8	4	4	8	11	5	4	4	8	6	3	4
desc	OG0007140	20	2	3	2	2	2	4	7	2	4	3	10	1	5	10	6	4	7	6	3
desc	OG0003730	9	2	1	1	5	7	5	3	2	6	4	6	1	2	2	2	3	5	3	5
desc	OG0003717	7	1	1	2	2	3	6	4	4	5	7	2	2	2	3	2	2	5	5	6
desc	OG0000571	41	36	8	6	2	16	37	29	31	22	26	96	7	8	17	36	9	10	19	31
desc	OG0005818	4	2	1	1	1	1	3	6	2	3	4	3	4	3	7	2	1	6	4	4
desc	OG0007231	25	4	9	1	2	9	17	8	8	5	13	3	139	6	4	9	2	11	12	9
desc	OG0007183	6	2	3	1	3	13	3	5	5	6	5	22	3	8	5	4	2	6	4	3
desc	OG0002695	17	0	1	1	2	2	2	5	4	4	4	1	3	18	7	3	1	2	2	4
desc	OG0002645	10	3	5	3	2	3	4	12	8	9	7	5	9	9	4	2	2	11	9	12
desc	OG0004490	193	63	59	17	19	15	102	130	125	72	103	140	66	63	65	109	37	112	116	128
desc	OG0006053	33	3	9	26	4	12	15	21	16	18	15	39	6	6	8	14	24	13	12	11
desc	OG0004726	8	6	2	3	2	1	4	5	8	4	6	5	3	2	2	4	3	13	4	5
desc	OG0004687	14	9	1	2	3	2	12	2	20	12	17	11	7	7	6	7	3	18	23	32
desc	OG0006244	8	15	7	5	2	30	11	19	15	4	23	14	5	20	2	6	12	17	74	28
desc	OG0005140	30	3	7	2	2	1	16	49	33	16	13	2	23	3	9	4	1	65	37	44
desc	OG0004660	33	30	16	19	9	26	22	17	9	8	10	10	2	33	51	12	11	8	20	16
desc	OG0003241	3	5	2	1	2	1	3	4	7	5	3	2	4	3	5	2	2	6	6	13
desc	OG0001051	21	14	11	23	5	4	10	31	26	14	12	7	26	13	13	16	7	17	23	15
desc	OG0007155	7	2	1	1	2	2	2	1	1	2	1	2	2	4	14	1	8	4	1	1
desc	OG0006789	70	102	111	13	26	64	46	95	44	70	38	112	67	64	35	54	26	46	83	33
desc	OG0004812	22	10	3	1	3	1	5	11	8	6	6	19	5	2	5	4	2	8	9	8
desc	OG0005792	40	37	16	4	4	1	17	22	35	34	27	34	12	12	19	35	46	49	32	35
desc	OG0004461	12	3	4	1	2	3	8	5	5	2	1	7	2	8	11	4	13	3	5	5
desc	OG0002737	8	0	1	1	2	1	2	1	1	2	2	0	0	4	5	1	2	2	2	2
desc	OG0006766	15	3	2	1	4	5	6	9	6	17	7	43	10	13	20	5	14	16	12	16
desc	OG0002294	0	2	1	1	2	2	4	4	4	4	7	4	2	2	9	1	1	5	7	9
desc	OG0003265	21	8	9	4	3	5	6	13	14	10	5	45	6	7	25	10	6	8	11	12
desc	OG0003786	14	1	1	1	2	2	2	2	4	3	3	1	3	3	3	2	1	4	3	5
desc	OG0006482	14	3	4	1	2	3	7	7	6	6	5	8	3	6	6	5	49	9	6	7
desc	OG0004734	13	6	2	3	3	2	6	5	4	6	4	6	2	5	2	4	3	7	7	12
desc	OG0006191	46	30	4	2	3	11	5	6	10	8	8	15	8	8	8	12	14	17	14	12
desc	OG0005462	7	2	1	2	2	2	5	8	8	14	7	3	2	7	6	3	6	16	8	10
desc	OG0005729	18	2	3	1	9	4	6	5	6	4	4	4	3	5	5	3	11	4	4	5
desc	OG0005301	30	9	5	1	3	3	15	27	15	5	47	11	23	5	5	16	11	10	13	19
desc	OG0004982	15	8	4	1	4	3	8	16	13	8	8	17	11	9	6	13	5	9	6	11
desc	OG0005134	17	2	3	2	4	3	18	11	9	9	17	32	1	3	3	7	4	32	16	20
desc	OG0004989	9	2	1	1	2	2	4	5	5	2	3	5	4	3	1	1	1	8	3	6
desc	OG0002905	6	1	1	1	1	8	6	8	6	9	3	3	3	2	1	1	1	2	2	4
desc	OG0006746	15	1	1	1	2	3	3	3	4	4	3	2	1	3	7	1	1	6	7	4
desc	OG0005232	36	1	8	4	6	8	12	12	12	27	14	1	4	27	5	24	14	14	8	17
desc	OG0005210	8	4	2	1	3	2	3	6	4	3	6	12	1	2	4	3	1	6	7	6
desc	OG0004054	9	3	2	3	3	2	13	8	8	8	4	16	2	4	3	2	2	5	8	8
desc	OG0004986	26	8	12	3	4	6	18	25	22	22	11	35	7	15	8	17	24	18	21	24
desc	OG0006979	15	2	3	2	2	6	3	11	8	6	5	7	8	6	6	2	6	4	6	9
desc	OG0003453	2	16	17	3	4	1	10	29	14	30	43	98	15	6	6	38	7	106	74	62
desc	OG0004896	6	4	2	1	3	1	2	7	5	3	4	7	4	2	2	4	14	3	2	4
desc	OG0005599	22	3	2	1	2	1	5	14	10	8	7	4	11	5	4	6	3	8	4	6
desc	OG0003282	0	62	94	28	7	11	62	65	68	36	66	2	58	14	108	89	47	63	68	82
desc	OG0002888	22	30	3	2	7	2	11	12	12	13	8	5	7	4	11	7	3	13	9	11
desc	OG0007161	13	4	1	1	5	6	8	15	12	10	8	12	5	5	3	3	5	7	4	8
desc	OG0006116	0	3	3	1	2	9	8	6	8	8	7	34	2	6	2	5	11	6	9	13
desc	OG0006899	7	3	1	5	4	17	1	1	1	11	2	17	1	5	5	2	16	4	6	6
desc	OG0005129	9	4	3	1	2	0	4	8	6	12	5	3	4	8	4	10	3	9	3	5
desc	OG0000645.1	12	10	6	3	3	1	13	36	23	14	16	8	12	4	5	12	4	34	15	17
desc	OG0006433	8	2	1	1	2	1	3	3	4	4	6	6	2	3	3	1	4	6	4	8
desc	OG0006678	76	7	67	5	4	7	42	54	56	12	118	26	10	11	7	47	8	82	76	63
desc	OG0005820	12	5	2	1	2	2	6	7	8	8	10	6	5	3	11	5	2	14	7	8
desc	OG0004647	11	8	2	1	2	1	10	15	15	14	14	2	8	4	7	5	1	13	11	12
desc	OG0005097	6	4	2	1	2	1	4	4	3	14	5	2	2	4	2	3	2	6	3	4
desc	OG0002064	25	1	2	23	6	3	8	5	8	10	5	11	0	3	4	3	10	10	7	16
desc	OG0003333	29	8	14	5	2	3	12	20	26	14	20	1	23	3	5	21	1	23	20	16
desc	OG0003558	39	13	9	2	3	1	19	32	38	30	19	2	16	3	22	16	5	26	31	28
desc	OG0005602	15	45	9	2	3	2	30	16	19	22	28	7	21	3	4	15	1	28	25	30
desc	OG0000361	13	5	1	2	2	1	4	12	5	10	10	2	2	3	4	3	4	9	7	7
desc	OG0006902	23	1	2	3	3	3	8	7	7	4	6	22	1	14	5	18	2	6	13	7
desc	OG0006039	5	9	4	17	6	2	18	12	9	8	6	8	3	19	8	9	5	9	7	6
desc	OG0000195	20	0	1	18	3	1	1	4	1	4	7	2	0	1	18	2	4	4	4	4
desc	OG0005665	10	8	17	13	2	16	16	18	16	11	9	10	2	5	4	6	6	17	19	21
desc	OG0000796.2	13	4	3	0	2	2	4	6	8	10	9	6	2	5	2	3	3	7	11	11
desc	OG0002264	16	7	1	6	6	3	12	15	12	8	12	19	6	7	11	4	3	16	8	15
desc	OG0006707	28	5	4	2	2	4	13	8	8	16	16	22	1	12	13	7	8	12	39	14
desc	OG0000796.1	47	11	2	3	4	3	9	9	13	29	14	16	2	37	4	5	4	18	7	11
desc	OG0007154	3	1	3	2	4	5	16	11	8	3	35	11	1	4	2	5	13	14	57	34
desc	OG0006805	21	8	9	3	5	4	29	26	27	12	27	42	8	18	21	17	15	18	49	24
desc	OG0005518	16	3	4	3	9	14	6	17	15	8	10	13	6	32	3	7	7	13	33	24
desc	OG0005833	14	4	1	2	2	1	3	9	6	4	10	6	2	3	2	2	4	21	5	3
desc	OG0007308	6	1	1	1	2	4	3	4	2	2	2	18	4	3	8	3	3	2	1	1
desc	OG0002340	7	3	6	1	2	4	7	7	8	4	3	9	3	3	16	3	3	4	4	6
desc	OG0005618	8	3	1	1	2	1	4	6	6	6	4	7	1	3	2	5	2	14	4	6
desc	OG0007244	6	8	17	4	3	4	7	17	9	4	9	11	4	2	1	18	3	12	15	8
desc	OG0006621	35	4	6	1	3	7	6	13	12	10	15	3	7	3	6	5	6	22	16	20
desc	OG0006419	11	5	2	1	2	2	4	4	3	3	8	6	3	4	5	3	2	27	6	5
desc	OG0004713	8	2	1	1	2	4	2	7	5	6	6	2	3	3	6	5	1	7	6	8
desc	OG0004297	7	4	9	2	4	3	12	18	20	11	12	10	6	10	6	10	7	28	10	23
desc	OG0007046	0	1	1	1	2	3	1	1	3	2	1	1	0	4	6	1	2	3	1	2
desc	OG0006725	28	6	4	1	2	5	4	13	8	14	6	4	4	9	6	6	5	8	4	9
desc	OG0006145	8	14	8	4	11	13	8	11	12	6	10	44	10	4	5	11	4	14	10	12
desc	OG0003752	10	3	3	1	2	3	2	9	6	6	6	4	4	2	5	3	2	8	8	6
desc	OG0007006	2	0	4	1	2	1	3	8	13	4	3	10	4	3	10	2	3	2	2	4
desc	OG0005161	19	2	1	99	20	35	5	5	4	7	9	871	2	66	17	8	67	15	10	10
desc	OG0006065	18	4	5	1	2	11	4	7	6	4	3	16	2	7	3	5	7	7	1	6
desc	OG0004380	4	1	4	2	2	2	5	2	6	5	5	16	1	2	4	3	14	3	2	2
desc	OG0004901	13	1	3	1	2	3	12	5	2	6	3	19	1	7	17	3	8	4	3	16
desc	OG0005601	11	2	9	1	2	2	5	9	6	4	5	12	4	2	2	4	3	4	21	12
desc	OG0007061	12	5	11	1	4	3	13	18	10	18	11	14	3	3	3	10	18	16	14	18
desc	OG0005750	18	4	5	1	4	1	4	12	12	16	10	4	6	16	9	15	5	11	8	11
desc	OG0007171	34	17	6	9	13	7	3	4	5	2	5	12	2	48	8	6	12	7	12	10
desc	OG0004235	13	2	2	1	2	1	6	14	10	4	7	3	3	4	1	3	2	12	7	8
desc	OG0006015	6	9	8	1	1	3	8	14	6	8	10	14	5	3	4	8	1	11	9	10
desc	OG0004383	14	4	5	2	1	4	4	2	7	4	4	6	2	6	6	5	4	6	4	9
desc	OG0004436	10	2	2	2	2	1	5	12	9	6	3	0	0	1	5	3	0	7	4	10
desc	OG0003243	6	3	4	1	3	1	2	7	5	4	7	3	2	2	8	2	1	6	17	11
desc	OG0000072	6	2	5	1	2	2	4	8	8	12	9	8	6	3	3	3	0	11	8	11
desc	OG0000107	34	7	17	5	7	39	14	17	18	12	17	80	8	14	20	29	8	20	33	27
desc	OG0000138	36	18	7	45	10	2	24	30	40	28	28	19	9	69	11	11	30	30	45	33
desc	OG0000319	65	11	84	22	9	11	50	53	51	60	41	145	44	64	11	43	18	59	45	46
desc	OG0000410	21	3	5	1	2	6	18	14	21	26	19	5	5	2	7	14	6	29	21	26
desc	OG0000417	29	11	13	15	5	9	24	29	21	16	32	37	8	13	53	22	14	29	26	23
desc	OG0000511.2	57	0	1	53	6	1	7	5	1	4	5	24	0	4	9	1	33	4	5	4
desc	OG0000513	12	1	1	2	2	1	5	8	6	6	2	9	1	4	2	1	3	2	3	8
desc	OG0000598.2	11	3	1	1	3	1	5	5	5	6	11	4	4	5	28	2	3	9	9	7
desc	OG0001106	18	1	1	3	2	8	2	6	6	4	5	9	2	4	6	2	0	7	5	7
desc	OG0001232	16	6	6	20	6	1	18	17	10	18	14	13	6	6	7	7	2	19	23	13
desc	OG0001524	6	1	1	1	2	3	1	1	1	2	1	23	1	3	2	1	1	2	1	12
desc	OG0001538	6	3	1	1	3	4	2	2	7	5	7	5	4	2	2	1	3	10	7	5
desc	OG0001815	15	8	1	1	3	2	3	7	5	12	3	0	6	3	4	11	4	3	2	2
desc	OG0001964	8	1	1	1	2	2	0	2	6	1	1	13	2	3	1	1	3	1	1	3
desc	OG0002280	4	0	1	1	2	8	2	4	2	1	2	2	1	1	2	8	4	3	3	7
