TranscriptID	hyva<1>	chfle<2>	neno<3>	cyca<4>	sama<5>	chfus<6>	isnoc<7>	pabor<8>	cebra<9>	gafa<10>	gopla<11>	gonor<12>	golob<13>	nema<14>	exadia<15>	enqua<16>	hehe<17>	stmer<18>	hemag<19>	stgag<20>	sthad<21>	acte<22>	ando<23>	oula<24>	macdac<25>	heaur<26>	hecri<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>
OG0002921	-61.3915	+73.1669	+169.022	+10.3686	+196.961	-48.0388	+678.031	+322.408	-208.592	-209.995	+32.3003	-291.7	+447.3	+700.315	+29.6085	-146.597*	+367.228	-219.713*	-168.817	+393.872	-262.128	+137.236	-155.611	+401.389	-83.8188	+84.9893	-61.0107	+0	+43.6192	-149.178	-24.8552	-36.3465	-5.59262	+248.807	+351.152	-279.377	-135.822	+0	+318.704	+0	-16.3107	-140.293	-9.79453	+78.1667	+123.008	-96.0593	+197.105	+153.311	-58.1524	+58.1524	-58.1524	-70.7925	+104.192
OG0003856	-243.592	+538.228	+120.876	+453.389	+822.167*	-112.833*	+764.522	-660.978	+966.022	-130.276	-375.906	-342.599	+406.401	-624.344*	+99.4014	-662.599	-440.806	-208.244	-519.244	-742.137	+926.863	+3258.24	+5.47942	+7.47942	-317.344	+23.7238	+4.72382	+0	+141.963	-314.783	-135.648	-45.513	-115.778	+546.965	+767.957	-321.5	-371.39	+217.145	+100.63	+358.693	-109.787	+786.254	+0	+295.302	+764.906	+235.438	+0	+392.893	-425.16	+682.022	-857.241	-656.396	+326.932
OG0001141	-107.545	-137.573*	+3297.99*	+57.5115	-29.2533	+34.7467	-45.0107	+518.048	-197.952	+6.23633	+78.8758	-49.6112	+69.3888	+266.445	+593.376	-332.634*	+839.445	-152.855	-224.624	+193.656	-188.344	+483.656	-341.592	+805.408	-43.7329	+107.356	-84.6436	+0	+99.8565	-106.828	+248.441	-261.526	-28.2351	+141.613	-130.004	+37.9412	+118.803	-224.054	-12.6395	-45.513	+213.738	-115.931	-160.99	+246.066	+30.8558	-235.701	+119.769	+181.72	-29.5719	+126.216	-207.752	-130.395	+23.9107
OG0006982	-406.496	-293.599	+3845.02	-257.496	+2134.48	-764.522	-400.276	+762.71	-508.29	-48.3441	-139.344	-30.1307	+38.8693	+87.7238	+394.724	-274.949	+734.051	-236.555	-181.969	-207.496	+256.504	-498.834	-489.304	+591.696	-236.131	+61.7238	-87.2762	+0	+290.025	+305.078	+141.379	-736.482	+185.026	-246.674	+92.4296	+393.014	-43.3508	-191.152	+0	+109.787	+135.78	+0	-177.327	+130.131	-130.131	-215.393	+137.414	+119.527	+96.4425	+219.312	+407.47	-266.391	+217.145
OG0006611	-3.46997	+13.5913	+174.591	+475.167	+124.816	-38.1836	-52.7202	+303.181	-113.819	-70.2533	-39.6112	-80.0107	+94.9893	+122.569	-13.4114	-50.4235	-28.5732	+28.1812	-14.5732	-3.8188	-5.8188	-146.597*	-44.0143	+38.9857	-13.6077	+82.1828*	-30.8172*	+0	+0	+46.9388	+0	-52.5756	-76.6495	-34.8601	-25.8897	+100.099	+23.821	-5.17751	+126.358	+33.3994	+0	-32.0195	+4.01214	+28.0073	+36.1424	+14.2456	-14.2456	+14.2456	-19.4529	+120.619	+183.417	-74.3703	+16.2095
OG0001127	-133.807	-226.817	+102.872	+123.376	+3503.36*	-494.644*	-321.807	-351.496	+557.504	+428.267	-9.07093	-123.053	+160.947	+2119.3	+59.3154	-21.0526	+572.709*	-47.8498*	+570.876*	+72.1082	-48.8918	+306.478	-746.847*	+2638.15*	-216.772	-14.6997	+24.3003	+0	+65.9264	-22.9157	+153.311	-55.5036	-50.9807	+23.9107	-89.837	+513.689	+78.1428	-102.053	-205.662	+14.9816	+57.9133	-335.015	-15.6321	+0	-245.761	-65.4415	+242.274*	-137.232	+447.292	+376.178	-141.675	-380.572	+283.928
OG0007389	+318.145	+27.9893	+857.599	-24.3515	+1875.43*	-148.573*	+543.869	+553.214	-293.786	+235.315	-27.2747	-59.0107	+82.9893	-12.772	+80.228	-171.995	+101.699	-138.995	+42.1934	+75.366	-77.634	-147.555	-155.396	+164.604	-60.3915	+39.9893	-33.0107	+0	-96.8407	-130.004	-11.6095	-126.05	+19.2217	+141.719	+366.398	-264.344	-141.719	-33.3296	-119.41	+22.7359	+17.7578	+0	-34.7767	+72.6386	-19.3332	-53.3054	+92.8112	-20.1726	+0	+276.921	+100.84	-229.243	+43.6192
OG0006971	-370.7	-428.128	+2230.92	+770.376	+1014	-282.995	-208.786	+430.696	-386.304	+78.3003	-234.128	-173.969	+219.031	+509.71	+96.5369	-174.463	+1475.71	-373.276	-102.834	-271.834	+369.166	-4.83434	-381.834	+586.166	-284.847	+444.479	-333.521	+0	+246.249	-275.821	+405.952	-461.455	-233.629	+387.514	+318.323	+147.518	-210.187	-423.576	-29.5719	+197.841	+393.014	-182.827	+0	+0	+182.827	-393.014	+268.558	+0	-109.557	+167.929	+0	-193.059	+246.674
OG0003230	-47.855	+141.947	+727.048	-114.819	+232.929	-150.071	-92.5923	+11.2136	-9.78642	-108.751	-393.969	-333.521	+411.479	+463.031	-135.7	-440.344	+6301.17*	-11.6243	-145.786	+61.4445	-64.5555	+285.193	-247.685*	+699.315*	-133.9	-186.909	+197.091	+0	+21.9622	-167.765	-43.1007	-142.133	+170.252	+213.738	-141.963	+53.1941	+100.84	-68.6449	+105.218	+409.551	+36.5735	-168.27	+96.6444	+234.502	+360.988	-777.21	+27.1621	+88.7691	-234.502	-322.538	-109.122	+1081.56	+82.0086
OG0004002	-260.29	+3219.48	+4254.38*	-115.611	-200.053	+459.947	-514.762	-101.382	-2.38208	-168.978	-399.9	-362.922	+390.078	+1417.32	-233.382	-732.806	+5016.67	-973.023	-436.137	+162.681	-83.3185	+2051.24	-311.74	+345.26	-434.244	+409.431	-287.569	+0	+135.497	-479.264	-557.898	-380.013	+114.441	+673.341	-190.366	+397.62	+101.425	-702.575	+153.922	+350.022	+577.13	-471.301	+110.424	+235.438	+1001.09	-1121.31	+513.113	+291.182	-451.69	-291.791	-682.022	+451.69	+256.325
