TranscriptID	hyva<1>	chfle<2>	neno<3>	cyca<4>	sama<5>	chfus<6>	isnoc<7>	pabor<8>	cebra<9>	gafa<10>	gopla<11>	gonor<12>	golob<13>	nema<14>	exadia<15>	enqua<16>	hehe<17>	stmer<18>	hemag<19>	stgag<20>	sthad<21>	acte<22>	ando<23>	oula<24>	macdac<25>	heaur<26>	hecri<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>
OG0005904	590	373	258	980	3486	21	143	807	345	434	1977	1932	2204	890	1081	0	3316	782	2968	1605	2345	5766	4448	7037	655	1968	1459	483.807	444.301	374.685	374.685	444.301	278.011	526.817	315.952	526.817	772.751	1040.85	2055.48	2055.48	624.624	526.817	390.995	2542.38	2055.48	1592.6	2237.92	1969.91	3013.68	5702.01	5702.01	1133.28	1733.98
OG0002543	1202	1519	5795	299	4048	375	10	1845	16	1814	1842	2391	3098	4856	4474	3397	6227	4134	3699	7272	7439	10206	6174	7236	4959	5456	3106	1040.85	997.496	1462.74	1401.83	740.555	1233.91	680.128	56.9019	181.409	3572.32	2055.48	2335.13	2768.02	5019.33	5019.33	5237.29	5949.62	5464.71	5019.33	5702.01	7358.52	6207.97	7678.04	6758.81	4418.36	4058.24
OG0004491	98	22	625	251	1553	20	13	699	1414	200	303	412	724	3460	1789	357	603	280	246	243	770	956	2622	6198	50	1005	314	181.409	244.611	128.833	290.124	206.214	181.409	425.772	173.819	997.496	740.555	315.952	425.772	549.733	1287.52	806.344	573.644	651.786	390.995	329.713	359.053	444.301	916.131	2436.55	4058.24	206.214	573.644
OG0004089	449	1657	1091	31	1586	0	0	856	178	573	1146	1889	1493	1738	1986	512	2582	790	1848	1603	1061	4015	1791	1237	256	1565	962	329.713	278.011	255.275	108.536	35.2794	38.498	302.764	33.7698	390.995	1233.91	955.949	1462.74	1661.79	1462.74	1343.46	1133.28	1401.83	1526.29	1233.91	1462.74	1287.52	1343.46	2144.76	1462.74	651.786	1233.91
OG0004959	1193	5248	1745	0	2771	616	18	2517	196	1556	1728	1623	6600	3552	1881	1379	9977	1715	2674	4427	2810	2350	1436	1745	2508	4485	2732	841.396	709.7	624.624	234.391	87.5662	1287.52	806.344	159.573	709.7	2335.13	2055.48	2542.38	3281.14	2542.38	2237.92	2335.13	2888.24	4058.24	2652.81	3144.57	3572.32	2237.92	1809.3	1592.6	3013.68	3572.32
OG0001722	316	63	1368	86	247	594	279	638	246	825	922	1573	2650	1983	1281	896	8026	972	1491	3188	2928	2054	247	802	700	0	1147	390.995	425.772	224.597	390.995	224.597	390.995	772.751	344.071	390.995	1343.46	1133.28	1462.74	2055.48	1462.74	1287.52	1287.52	1462.74	2888.24	1733.98	2335.13	3013.68	916.131	772.751	444.301	1182.52	0.160383
OG0002011	174	411	2238	613	818	92	13	474	223	290	171	259	299	5018	1051	294	1418	581	1094	640	0	0	1105	891	242	340	336	302.764	390.995	573.644	651.786	374.685	278.011	278.011	91.4114	329.713	573.644	255.275	234.391	278.011	997.496	463.634	329.713	329.713	1182.52	1040.85	1287.52	1.10381	134.47	80.3491	997.496	290.124	344.071
OG0003647	117	174	855	347	199	0	136	183	160	132	53	234	164	241	0	154	302	81	502	185	370	403	37	255	371	132	178	118.253	118.253	134.47	118.253	45.8172	13.2428	108.536	159.573	173.819	87.5662	123.431	118.253	197.592	67.6314	38.498	189.328	206.214	244.611	215.21	344.071	266.401	189.328	166.545	99.6098	224.597	152.892
OG0004952	1082	1340	2911	631	1826	53	230	1510	2000	1025	751	1010	1487	2525	2114	1794	5316	2149	1711	2438	3449	1416	1329	2325	519	1316	1344	1040.85	1040.85	916.131	772.751	408.014	315.952	1182.52	772.751	1733.98	1592.6	997.496	997.496	1233.91	2055.48	1887.9	1809.3	1809.3	3013.68	2335.13	2335.13	2888.24	1287.52	1661.79	1733.98	916.131	1343.46
OG0004463	4713	907	5605	328	1604	351	15	1690	559	1958	2762	3669	4515	580	2366	1440	2422	442	548	1670	1517	955	219	1561	557	1329	908	1401.83	806.344	1086.08	1133.28	549.733	740.555	651.786	181.409	955.949	1462.74	2652.81	3423.63	4058.24	997.496	1287.52	997.496	877.969	1133.28	806.344	1086.08	1592.6	740.555	709.7	598.592	841.396	1086.08
