Orthogroup,Enqua_tentacles1,Enqua_tentacles2,Enqua_tentacles3,Enqua_tentacles4,Enqua_tentacles5,Enqua_tentacles6,Mado_tentacle_i1,Mado_tentacle_i2,Mado_tentacle_o1,Mado_tentacle_o2,Stgag_tentacles1,Stgag_tentacles2,Stgag_tentacles3,Stgag_tentacles4,Stmer_tentacles1,Stmer_tentacles2,Stmer_tentacles3,Stmer_tentacles4,Sthad_tentacles1,Sthad_tentacles2,Sthad_tentacles3,Heau_tentacles1,Heau_tentacles2,Heau_tentacles3,Heau_tentacles4,Heau_tentacles5,Hecri_tentacles1,Hecri_tentacles2,Hecri_tentacles3,Hecri_tentacles4,Hemag_tentacles1,Hemag_tentacles2,Hemag_tentacles3,Hemag_tentacles4,Hemag_tentacles5
OG0004695,1085,600,66,237,244,121,1053,778,1359,787,1937,1144,1228,1065,975,2168,943,758,3172,2351,2101,3136,2426,2554,2260,1791,2500,989,1240,1092,4937,2710,1503,1448,980
OG0006140,3362,2307,295,1003,883,546,1574,1250,1801,825,11613,2333,3152,2508,2911,3024,4347,3212,9101,2447,2602,7045,2111,2332,2315,1596,1954,903,1132,1100,5744,2567,1680,1349,1440
OG0005772,343,571,81,223,256,137,240,103,141,115,1589,458,763,778,691,863,637,254,1650,700,740,1124,320,342,327,581,649,364,363,632,915,389,324,244,295
OG0003717,1567,1027,61,318,386,119,275,150,177,127,2198,612,834,577,479,1124,564,557,1719,565,429,846,225,241,211,276,937,207,275,465,2871,922,839,664,668
OG0002645,1020,2456,66,226,265,110,3632,2375,3412,1937,6794,1759,2297,2164,1505,2771,1687,694,7577,1737,1376,6564,2020,2262,1592,1327,2792,1173,1206,1336,5276,1923,1285,938,820
OG0004687,6474,3168,1038,2426,2393,1965,4728,3393,4993,2752,7982,5845,5861,5432,1726,3247,3565,1527,9508,8469,7401,569,177,223,285,189,8565,5089,5817,3743,12879,6165,6519,3513,3612
OG0005134,2809,675,139,613,1267,298,112,31,86,64,6100,3261,2940,2234,1027,2312,599,865,3961,1201,1129,1172,956,823,378,273,565,633,611,311,3461,2086,1250,1210,1108
OG0004989,434,308,31,166,216,72,494,486,560,294,838,408,710,738,420,729,272,300,430,305,179,1294,388,315,292,455,585,237,217,346,372,174,164,150,150
OG0002905,1743,1046,169,677,385,312,767,674,1010,611,1020,259,443,226,388,406,148,164,923,239,234,2579,758,1068,1063,859,918,531,604,543,788,455,309,236,280
OG0007161,934,464,50,149,244,102,538,668,833,414,451,185,310,229,226,246,153,83,299,96,132,2216,574,754,591,567,980,416,490,442,464,283,200,202,216
OG0006116,1559,487,57,137,155,74,174,171,261,115,800,238,342,595,1461,3184,1230,1148,841,245,292,923,202,199,238,392,674,157,238,331,1076,356,273,186,221
OG0006707,2190,1227,343,543,518,374,178,146,131,81,2197,903,1184,825,813,1125,671,454,10656,2507,3155,2136,410,394,409,502,577,283,517,522,3687,1316,948,876,609
OG0007154,406,1604,27,340,472,411,31,26,29,21,1240,1797,940,871,417,1416,1470,646,870,4755,5823,412,189,419,757,387,171,170,621,144,1832,4932,2198,554,826
OG0005518,1110,1303,217,289,227,443,806,924,1085,377,3501,1297,1428,1213,1239,2224,3460,509,2644,5392,7179,4646,1131,2119,2635,1957,3016,830,2057,1756,2908,2174,1129,710,600
OG0005618,564,333,52,181,169,92,182,115,148,89,2500,939,1551,1025,547,593,344,178,824,364,220,1719,542,515,619,628,1170,477,559,699,1326,617,644,670,472
OG0006419,2381,617,64,246,273,152,849,613,1112,556,10246,1704,3598,2599,285,614,430,363,2226,567,460,1407,447,470,410,520,766,406,342,532,2712,1148,970,639,610
OG0005601,560,820,53,475,169,78,588,566,1005,510,829,181,318,293,343,592,1044,848,1511,2180,2503,1671,507,520,1358,716,711,363,595,517,1472,899,457,308,313
OG0004235,1359,1988,180,179,179,245,896,758,1063,414,2855,718,1145,998,448,587,581,369,2017,502,497,4213,927,832,1007,1439,2378,616,740,1351,1980,747,683,436,489
OG0001524,220,88,42,144,184,47,43,34,52,33,865,206,210,99,1158,1626,1136,674,466,123,140,268,45,39,128,102,47,27,41,31,355,227,116,124,108
OG0001538,302,91,30,79,25,59,313,341,392,203,1028,454,777,1048,183,262,234,128,1227,690,475,415,174,133,106,211,655,260,303,450,1331,540,334,181,453
OG0003032,261,686,60,136,324,107,590,527,668,261,1659,798,806,746,608,1365,1828,1037,2916,2266,2133,1919,482,479,1306,458,1496,550,597,619,2078,1176,336,215,429
OG0003230,1328,1959,186,1154,794,325,1823,895,1551,1126,1462,866,683,835,504,1556,801,850,1211,653,604,7831,2173,2245,2605,2352,3088,1416,1527,2567,1959,649,513,509,470
OG0003371,6140,3009,178,1218,1563,910,414,266,362,276,14999,5248,4531,5429,1775,4229,8182,3029,8276,6836,7865,1250,302,336,1036,337,1189,1041,1606,1071,9090,5084,3984,2582,2624
OG0003723,1514,3610,158,1178,1449,219,2751,1670,2287,1450,4668,3548,4633,4728,2317,4503,2178,1266,9576,5802,3838,3736,2502,2684,2507,1838,1083,1876,1288,1103,5644,2419,1631,1090,1414
OG0004122,2539,2357,415,671,932,642,1326,782,1215,684,12938,5025,4970,3019,1775,2880,1953,1018,4359,2302,1899,5609,1173,954,1434,1845,7231,3558,3749,3430,8220,2417,1921,2049,1119
OG0004782,6523,4392,490,1724,1948,798,1424,719,1107,864,15067,2825,3377,2859,3007,5499,2742,2957,9595,2591,1990,7000,3576,3762,4215,1541,4048,1815,1864,1458,4504,1750,1313,683,783
OG0005155,765,578,54,181,285,120,252,238,378,160,1494,271,326,428,250,379,193,192,699,393,365,1398,517,456,358,368,1843,701,494,364,1892,738,595,598,290
OG0005437,4862,5340,613,1895,2229,1066,2567,2111,2495,1331,8261,4228,4468,6363,1915,3710,4061,1713,6648,4575,5212,9058,2906,3755,4867,5267,3164,1959,2194,3271,5524,2961,4038,2638,1796
OG0005805,9165,4316,728,1727,1642,638,2525,2652,3619,1639,5209,1704,2429,3555,1621,1957,1392,1507,3889,3833,3672,6680,2312,2159,2945,4310,5173,1407,1644,2987,5718,1957,1479,1503,2123
OG0005997,2276,7036,186,930,1836,334,1865,1139,1729,1064,2632,1043,853,931,1472,2164,1915,3632,9237,3616,2849,5928,1118,1395,1598,1189,1964,799,771,1329,6336,1500,1575,1379,819
OG0006168,138,162,33,37,71,39,216,202,279,122,765,204,333,281,222,323,244,134,629,264,297,1569,281,320,461,369,314,107,115,172,581,183,188,172,99
OG0006211,1387,942,177,391,391,249,452,428,678,271,920,317,620,268,367,498,311,161,828,486,423,2737,435,521,810,697,1582,435,470,535,1569,653,388,587,313
