Description,Orthogroup,acte,ando,chfle,chfus,cyca,enqua,gafa,heaur,hecri,hehe,hemag,hyva,macdac,neno,nema,oula,sama,stgag,sthad,stmer,exadia,golob,gonor,gopla,isnoc,pabor,cebra
desc,OG0007083,1631,2072,393,98,897,1154,523,840,480,1496,759,2946,284,3348,679,2358,2415,1762,655,846,1366,678,326,500,875,2890,857
desc,OG0005910,31868,18610,463,113,14790,6445,6463,3557,2289,14998,9983,458,14878,6763,5182,24701,1302,12839,7281,2415,4990,3603,2146,2270,9687,10973,29258
desc,OG0002160,1504,884,71,15,0,255,1276,1633,802,2599,1288,189,434,3464,1179,6967,14,1046,1389,620,844,1024,958,678,546,938,771
desc,OG0000473,663,345,393,351,1092,208,1302,255,184,2288,179,1628,7,5737,3063,598,2316,409,375,391,2467,2600,1734,2244,468,715,282
desc,OG0004452,1627,798,852,324,223,139,950,1798,1431,2904,952,1093,761,2655,2081,2428,1936,1393,929,1150,2530,2015,1498,1291,1414,935,177
desc,OG0006969,4377,10089,8519,249,5096,2432,2170,2372,1754,9318,2199,20264,900,5297,2334,2989,901,4760,4832,2857,3475,3959,2683,2075,20,1870,288
desc,OG0002814,918,49,1246,144,68,201,419,701,190,1248,1120,216,50,1166,2298,1484,1200,7392,3924,1634,841,1278,902,890,6,347,1734
desc,OG0001209,8962,490,438,421,18,1102,416,2568,2948,2534,2082,885,3711,1205,3493,1284,341,2632,2276,1769,870,1919,1908,1412,479,1057,289
desc,OG0006893,4225,628,198,167,2981,216,1372,457,666,2306,1519,515,147,4341,960,928,3353,2769,2325,938,1711,2121,1778,2355,4381,3261,1717
desc,OG0005607,1826,458,297,155,552,230,799,802,1300,1164,816,1160,231,2269,416,1028,2791,1045,1118,326,749,1401,954,869,602,791,333
desc,OG0004704,286,0,80,10,33,217,134,293,272,328,237,376,180,457,406,438,1816,497,1717,226,327,1192,500,200,265,1126,397
desc,OG0005122,1001,1852,111,190,212,390,492,961,766,1968,919,316,1767,2214,313,820,528,2242,3812,1159,329,1033,958,785,401,647,467
desc,OG0003268,4521,385,602,203,437,537,926,2148,1860,2430,1447,263,1168,2432,4337,1048,1692,2734,3383,1056,1527,4053,3682,2877,60,1329,1318
desc,OG0005639,958,820,36,90,73,593,768,624,872,1784,584,50,292,841,2657,952,508,938,1395,486,718,1641,1302,870,397,788,1442
desc,OG0004640,842,290,168,0,0,255,238,455,303,377,285,2459,288,828,820,596,357,413,356,177,277,226,408,119,297,1391,1011
desc,OG0000594,542,371,1790,263,1383,75,218,1319,409,544,903,769,364,2344,2010,620,5152,1502,974,309,75,125,85,23,1604,4050,0
desc,OG0005795,683,1476,639,126,1307,153,881,887,398,1813,401,1537,319,5965,442,1664,3059,597,585,471,1431,776,501,489,2419,12845,8422
desc,OG0003703,4401,2349,251,0,41,992,917,2679,1513,5648,1718,212,1088,1389,2690,2230,0,4132,3497,2488,2131,1392,1237,849,572,763,1519
desc,OG0005908,515,581,90,12,814,284,280,276,12175,844,770,544,86,501,444,417,1116,0,2436,276,462,613,447,439,185,226,450
desc,OG0002373,7439,5331,2877,0,143,2063,1791,10006,3127,10758,3216,1315,2298,5493,6918,3952,930,4560,4925,2555,4973,3852,2738,1611,2674,2843,2335
desc,OG0005918,374,373,109,98,19720,196,617,828,308,1240,279,288,806,2100,416,667,1365,236,390,216,1370,490,339,368,1577,1673,1230
desc,OG0004961,1175,41,0,10,358,102,194,307,321,767,352,323,136,422,370,547,1201,634,566,190,218,350,246,223,289,333,1071
desc,OG0000402,628,1447,392,14,258,94,643,1482,1246,682,371,396,2033,1731,332,1357,54,704,0,3492,0,1784,954,212,830,1303,853
desc,OG0001922,1497,0,132,0,68,539,380,1664,1272,4158,827,1182,856,1616,1595,1800,205,1361,1642,560,1349,1290,824,592,521,732,948
desc,OG0005502,3816,591,3925,5516,2802,2668,600,5171,2647,6032,3391,2583,2126,7585,3565,1718,8539,5830,5478,2850,2503,1988,1020,1317,1278,1907,2517
desc,OG0000149,748,22,172,98,31,8,133,727,512,334,392,41,366,2840,939,64,565,768,620,181,900,169,229,63,252,670,528
desc,OG0004321,1660,2559,418,122,46,1340,790,3089,2006,9936,2393,498,4642,4085,6471,1398,413,4349,5200,2696,1855,832,554,512,524,1582,443
desc,OG0006685,451,790,377,147,984,171,337,471,436,365,464,994,221,1084,246,675,1945,464,506,172,537,470,307,257,785,1570,635
desc,OG0001336,2900,657,8307,524,34,234,1820,647,546,866,478,4453,142,2571,1121,376,4731,1022,1119,312,830,2576,2151,2176,488,345,215
desc,OG0006231,717,1196,3079,602,4032,481,516,720,621,1521,1716,750,421,2363,564,847,3410,1069,1978,958,1983,2674,654,768,527,932,1056
desc,OG0005397,737,397,123,43,656,590,404,1040,756,1355,702,343,457,969,335,925,1384,531,579,334,740,412,332,283,1359,1030,1350
desc,OG0006650,597,419,249,159,139,193,150,658,348,263,373,169,364,567,781,618,709,319,633,1122,256,590,445,573,49,636,795
desc,OG0004530,1485,665,104,19,1321,239,595,1592,608,2572,784,624,1059,2594,1161,849,1533,1394,1127,492,1001,1013,809,735,725,3002,309
desc,OG0006120,587,1015,411,61,61,489,274,968,846,1377,813,172,298,857,2392,880,250,332,955,476,450,897,606,690,446,252,929
desc,OG0005126,627,444,44,17,409,233,339,950,572,1049,869,289,565,521,497,555,292,710,699,511,474,460,283,302,419,989,313
desc,OG0003588,520,278,3941,0,1253,52,434,188,226,876,143,137,45,3303,1081,295,3537,360,402,0,560,705,538,396,909,996,234
desc,OG0006549,579,222,596,66,363,308,196,542,444,886,419,580,321,686,897,765,682,464,461,537,404,286,161,131,2709,1719,1444
desc,OG0006412,292,227,103,288,6669,285,484,493,336,985,223,500,144,3149,1024,580,1972,1097,196,174,1125,880,621,474,11,534,1185
desc,OG0005761,2721,3925,1044,119,402,1521,1383,2075,1300,2750,3205,1910,1455,5593,1671,8539,6841,1684,1631,2036,2417,4228,2406,1155,865,2365,609
desc,OG0002114,36553,6544,8113,2735,118,2115,954,10911,0,5577,9997,698,14644,23017,24106,27582,6375,12991,17836,6636,9777,2029,1651,1202,8117,69756,6000
desc,OG0006858,2197,6040,1551,449,6550,1017,1266,1188,855,3022,1142,2172,345,6177,1966,5769,2384,9163,4159,1037,9088,4373,2740,2532,163,1723,549
desc,OG0003475,6654,2864,4493,655,258,1006,1066,3950,2697,8858,5490,2103,3987,3027,5558,8067,3466,8819,5715,2530,2758,2112,1685,1384,921,889,860
desc,OG0004237,976,566,66,14,140,334,239,654,553,332,277,324,332,965,726,539,595,1765,1313,441,303,651,610,321,10,413,423
desc,OG0001114,400,152,10,693,26,235,278,306,114,44,84,353,74,2032,727,223,1702,101,232,81,35,228,217,28,529,261,159
desc,OG0004153,1481,4495,188,0,19,470,465,784,742,3669,620,597,1411,864,1098,1357,607,535,576,707,778,402,209,257,495,699,495
desc,OG0004677,5372,5714,7572,800,292,2473,1170,7154,5337,10018,4412,1913,2499,16489,4460,9144,7187,4477,4705,2423,3284,1649,1027,1028,3365,5773,4378
desc,OG0004571,658,502,11,39,29,544,1659,580,499,1160,411,733,17,1980,1372,1012,490,416,418,384,548,335,750,293,7,2338,449
desc,OG0003028,1294,125,0,0,128,929,673,1577,985,1896,686,361,1169,1325,7340,454,0,1074,834,538,662,477,489,413,517,1494,1175
desc,OG0001006,2218,512,201,47,249,668,331,1156,458,1238,834,714,154,1114,1532,1038,668,4653,925,618,661,566,322,390,477,389,373
desc,OG0004543,1339,1254,131,0,85,904,662,1369,1008,1607,1008,324,542,1825,755,1101,967,1739,1507,1158,859,1233,1232,902,178,618,294
desc,OG0002933,7708,10700,2280,652,1810,3220,2708,3704,3624,0,6713,1411,9146,8042,1838,5154,6705,6594,6707,3260,17,4659,3094,2739,3838,5578,12561
desc,OG0005944,1239,1387,1134,483,22333,281,1433,731,586,1259,2079,1624,451,5157,1315,3973,2964,2547,3590,1324,2169,3235,2067,2054,6064,6407,1481
desc,OG0006934,1428,533,948,142,265,362,487,490,369,964,1163,590,634,1238,661,1992,1059,3170,1175,875,393,555,443,411,618,813,559
desc,OG0005624,4206,662,892,165,964,402,525,1566,664,1424,754,325,1035,1504,8012,2476,1110,1354,1523,527,602,707,442,375,1056,1215,869
desc,OG0004954,695,837,240,236,33,489,613,2097,770,4699,710,392,522,2775,2531,1052,538,2993,1130,1686,899,1425,1069,653,45,769,700
desc,OG0003604,425,383,0,11,203,305,1287,1718,489,591,517,96,232,657,515,342,382,894,1322,774,679,746,529,258,138,674,536
desc,OG0006485,1822,1656,450,16,525,134,163,305,288,814,1006,490,204,1929,748,1610,901,652,586,297,1383,892,1162,773,1535,2070,663
desc,OG0002796,1750,0,1497,0,319,1904,361,0,1102,5460,2325,724,1510,2267,3365,1034,846,2274,3717,2087,2761,1927,2118,854,2489,602,2102
desc,OG0002515,3890,437,135,25,37,1678,586,1269,1446,2480,1146,517,316,961,1991,1323,0,0,1918,803,1027,730,772,659,681,1077,1670
desc,OG0005988,1142,388,235,89,397,262,364,865,330,566,509,922,266,264,562,422,362,667,434,240,686,600,440,520,605,831,705
desc,OG0006164,700,1070,275,33,1784,628,466,696,341,1373,634,463,199,2194,3632,1186,863,633,741,862,769,830,550,632,329,456,1004
desc,OG0004791,15805,9544,1690,456,2117,1968,3748,6451,4711,6922,4145,327,3083,4874,4263,10382,5646,3463,6571,3128,3273,4525,3572,3155,8331,5344,1661
desc,OG0004936,822,1705,544,26,0,406,542,844,488,838,837,138,335,1440,1555,434,842,780,1344,373,1198,1033,892,692,940,1491,942
desc,OG0006846,3088,2356,2249,307,80,1580,1006,4278,1471,5600,3693,1213,774,1197,4282,4440,632,3536,4208,1827,2151,2557,2293,1929,3798,4702,5982
desc,OG0002503,2466,1358,244,266,0,604,365,1565,0,9616,1391,727,327,1755,2360,1165,498,1320,1947,1720,1302,2726,1505,1527,23,406,7
desc,OG0004561,2624,1250,973,0,342,809,909,1236,867,5522,1301,813,147,4516,540,1278,2117,2416,1957,1077,3893,1913,1445,895,7,864,0
desc,OG0006222,5792,1011,758,111,0,1080,348,2445,1066,3866,1986,801,758,1658,1002,1446,1700,1603,1533,900,788,651,571,521,463,1162,423
desc,OG0000273,1512,500,259,0,182,754,902,1941,1301,3228,961,218,1010,2064,2098,2111,352,1980,1698,1822,2320,3706,2545,1954,603,1364,1028
desc,OG0003453,4558,1689,546,1189,75,1082,1420,4964,2340,7984,3168,777,1980,4226,7790,3379,407,6502,6165,3999,2399,4225,2734,2147,851,1674,310
desc,OG0006376,7004,34633,31116,152,1731,5644,172,4581,2850,3528,2560,938,1180,13953,1563,9232,1649,1954,8382,9102,11108,575,8,464,705,442,51
desc,OG0005046,228,424,136,53,235,358,395,697,254,636,288,1173,636,1169,1373,360,605,770,1690,96,404,566,421,377,612,722,1151
desc,OG0005671,638,928,5698,736,2621,415,925,839,715,2228,838,636,89,7731,1257,893,6006,915,956,586,1105,1179,849,695,0,654,1028
desc,OG0005720,2785,1271,2112,352,2554,633,1179,1429,1208,5228,1677,313,502,2941,2439,2198,2845,1612,2547,1414,2600,1325,656,641,20,885,1080
desc,OG0006618,367,4976,1157,32,1785,508,177,1487,414,442,2491,1534,217,957,544,686,595,1527,1310,589,662,773,527,396,1122,596,691
desc,OG0004616,6844,17739,465,284,300,3028,1184,2747,915,2136,2048,4815,1603,5956,3767,19217,3770,2355,2758,614,5141,1344,1258,913,2453,2764,2401
desc,OG0000027,1295,1861,840,130,366,1038,544,1406,597,3360,1553,435,1104,3022,995,2159,1265,2112,2490,640,1382,1381,1037,578,85,292,5073
desc,OG0006174,738,1477,410,93,134,909,449,1865,1313,3019,992,1023,1076,1734,498,3619,2261,2778,1624,688,981,1745,1395,1232,950,2156,1223
desc,OG0006585,457,311,19,11,488,74,79,353,161,227,85,75,179,439,217,232,2852,129,167,134,143,430,314,136,165,380,467
desc,OG0001505,6519,10371,32,414,2839,2142,3164,3807,2312,2548,2506,3437,461,5383,2287,5891,3517,3080,4814,2644,3447,3650,2324,2485,11,2221,1598
desc,OG0006301,2712,1399,346,289,759,263,436,699,617,948,1089,4642,142,2598,1333,1583,1500,1664,2313,875,1240,2103,1335,1232,1782,887,227
desc,OG0006693,667,604,83,21,182,387,667,601,526,641,922,508,339,647,508,687,784,689,654,355,267,183,111,130,400,479,321
desc,OG0001366,4034,6118,576,398,2081,843,1509,2198,1442,4142,1836,2339,1057,5100,540,3814,3862,1977,2090,1325,2800,1820,1139,1294,951,2892,1587
desc,OG0007424,939,693,169,29,12590,281,664,500,1090,556,2594,764,964,877,1945,536,1093,618,888,384,29,975,456,382,111,1100,36
desc,OG0004986,642,1176,728,0,49,94,230,955,571,4083,333,1195,6,1483,1922,588,763,462,515,234,1959,2117,1735,2150,735,460,67
desc,OG0004087,1386,232,96,655,168,626,1079,1397,1046,1572,1025,503,1140,1899,1051,1255,1328,1218,1267,755,1021,1480,907,993,260,1378,169
desc,OG0006262,2850,471,1251,179,941,725,973,2336,1278,0,2518,1621,1582,2137,2716,4430,1672,3298,2799,1156,1657,630,506,449,1340,661,1868
desc,OG0004428,2968,1119,1556,0,30,1271,692,4158,3759,7270,3147,489,2803,2756,3702,1833,344,3193,4526,1993,12657,2032,2018,1517,1843,3627,1291
desc,OG0004473,2134,1009,2019,2593,113,1885,1020,2502,3342,6000,1388,2534,1599,17340,5538,2917,3700,2611,1632,680,3844,2137,1900,1265,3877,4393,825
desc,OG0004165,848,283,289,37,140,410,305,764,524,514,527,58,612,1350,1710,802,511,660,819,468,199,406,413,214,290,300,453
desc,OG0005841,1518,23,19,152,413,404,0,875,522,264,364,127,656,1481,1159,882,4581,556,832,266,310,289,231,229,22,1186,343
desc,OG0002164,1438,817,0,0,0,820,1297,1293,1324,5298,1491,535,1086,2205,1910,2842,88,2722,2432,1641,2259,1699,1121,1010,17,539,527
desc,OG0007215,3610,11194,34,43,7037,1948,391,1091,1135,978,1676,68,680,1793,1721,2871,1377,1930,1132,1142,1471,750,256,566,1833,915,145
desc,OG0002646,5554,410,1192,188,10,450,783,2659,1473,2064,1517,227,1120,2006,7066,1868,0,1943,1830,1356,1197,1415,1145,839,2039,1794,1036
desc,OG0006241,2280,257,164,260,77,375,982,1302,837,436,549,339,306,1547,725,1722,773,139,253,196,389,1165,823,713,687,394,762
desc,OG0007129,1312,275,243,16,214,592,161,615,492,790,604,550,369,783,2212,908,1104,716,1020,240,352,443,336,207,596,691,504
desc,OG0007208,218,663,270,15,619,2144,136,255,177,218,260,131,42,1017,1454,290,752,522,1138,205,1055,428,174,64,408,697,344
desc,OG0004099,18062,6386,434,476,160,7968,1336,11210,5149,13440,7772,1222,12094,3543,33978,7276,745,8587,10059,6712,4776,1781,1843,1707,1949,2801,2347
desc,OG0004762,514,92,3039,111,338,24,308,102,166,560,256,108,204,1555,595,140,2537,91,196,166,481,256,208,119,234,220,292
desc,OG0007167,1983,766,121,29,713,435,375,1059,633,1688,731,794,625,704,1252,808,1384,945,666,216,480,744,538,584,8,218,205
desc,OG0001750,664,9038,93,297,1469,214,294,1109,2464,2628,313,1593,3139,3164,1652,2365,3464,271,283,321,593,1238,707,1214,780,449,1710
desc,OG0005242,312,320,358,151,682,548,132,677,454,660,352,365,1005,1427,685,1230,521,530,447,364,220,560,480,454,720,381,101
desc,OG0005829,6583,7342,30813,277,547,1747,1743,2174,4437,4772,2669,889,2326,3027,2269,5754,3734,7150,11513,1375,3857,4563,4454,4281,928,8929,6978
desc,OG0005584,389,347,149,12,75,155,438,478,417,1425,280,42,94,902,1079,475,84,316,467,263,553,476,259,227,128,381,0
desc,OG0003766,5868,1369,1071,114,473,1170,480,1701,1187,3274,1739,1018,1365,4915,2749,1551,2178,2055,4350,1432,1408,942,479,606,1179,583,1458
desc,OG0006460,5936,549,115,68,64,134,661,1561,1309,3802,2561,9,2360,1617,422,2270,1142,531,554,745,1599,1438,758,646,598,2478,777
desc,OG0007371,1903,9820,1042,240,842,1324,1182,1722,821,1415,6819,1723,216,1873,1447,5496,3579,2280,3302,972,8,1299,720,552,197,825,312
desc,OG0005152,2395,1382,350,211,103,20,243,912,697,1778,289,172,808,1588,611,804,913,2563,1177,856,1497,884,559,255,523,1138,1842
desc,OG0004938,2606,2072,1023,204,323,968,644,2111,2450,2725,1138,757,7749,2417,2722,1404,1223,1637,1699,1021,2799,1464,1095,855,757,2015,1380
desc,OG0007421,57,133,195,47,534,26,468,62,50,65,26,2,12,797,613,81,2151,34,30,32,356,687,457,525,246,1111,411
desc,OG0006491,835,2770,962,98,363,393,573,808,2878,724,391,309,191,1369,2941,978,1024,340,866,322,430,895,707,542,1465,740,181
desc,OG0004594,8941,2721,3312,409,1987,2481,384,2869,673,4597,1235,3162,493,7918,3405,1352,3207,4539,4945,2693,2236,1015,768,473,0,1648,0
desc,OG0005568,886,1502,110,230,88,386,375,1954,743,2768,988,210,1730,2093,1111,745,2787,1318,1625,709,896,1130,414,541,240,168,17
desc,OG0005731,378,739,186,24,105,262,870,1225,456,946,396,448,694,894,615,641,525,564,449,432,710,888,680,575,219,553,417
desc,OG0005802,951,1370,275,46,583,277,0,445,306,814,446,187,296,935,0,902,2081,754,987,596,325,374,326,341,573,587,779
desc,OG0005831,528,0,15,43,321,115,182,548,124,474,472,159,70,1053,799,274,378,478,1051,492,240,505,313,349,112,577,49
desc,OG0005904,5766,4448,373,21,980,0,434,1968,1459,3316,2968,590,655,258,890,7037,3486,1605,2345,782,1081,2204,1932,1977,143,807,345
desc,OG0002543,10206,6174,1519,375,299,3397,1814,5456,3106,6227,3699,1202,4959,5795,4856,7236,4048,7272,7439,4134,4474,3098,2391,1842,10,1845,16
desc,OG0004491,956,2622,22,20,251,357,200,1005,314,603,246,98,50,625,3460,6198,1553,243,770,280,1789,724,412,303,13,699,1414
desc,OG0004089,4015,1791,1657,0,31,512,573,1565,962,2582,1848,449,256,1091,1738,1237,1586,1603,1061,790,1986,1493,1889,1146,0,856,178
desc,OG0004959,2350,1436,5248,616,0,1379,1556,4485,2732,9977,2674,1193,2508,1745,3552,1745,2771,4427,2810,1715,1881,6600,1623,1728,18,2517,196
desc,OG0001722,2054,247,63,594,86,896,825,0,1147,8026,1491,316,700,1368,1983,802,247,3188,2928,972,1281,2650,1573,922,279,638,246
desc,OG0002011,0,1105,411,92,613,294,290,340,336,1418,1094,174,242,2238,5018,891,818,640,0,581,1051,299,259,171,13,474,223
desc,OG0003647,403,37,174,0,347,154,132,132,178,302,502,117,371,855,241,255,199,185,370,81,0,164,234,53,136,183,160
desc,OG0004952,1416,1329,1340,53,631,1794,1025,1316,1344,5316,1711,1082,519,2911,2525,2325,1826,2438,3449,2149,2114,1487,1010,751,230,1510,2000
desc,OG0004463,955,219,907,351,328,1440,1958,1329,908,2422,548,4713,557,5605,580,1561,1604,1670,1517,442,2366,4515,3669,2762,15,1690,559
desc,OG0005124,1875,683,0,99,0,170,174,377,443,784,711,308,293,1033,4086,1775,231,520,725,188,641,508,293,318,1526,1078,818
desc,OG0006128,1736,2108,1313,313,1312,855,1880,3367,2130,4322,2646,1295,1681,6570,1684,4460,5129,2137,2261,2167,3149,3633,2447,1672,3766,5646,6155
desc,OG0007449,542,350,152,9,1071,1334,0,174,219,104,566,309,170,245,648,600,111,231,166,1126,2,418,220,326,605,708,481
desc,OG0003606,1688,1412,289,22,306,322,481,1513,684,3099,940,227,500,1372,2015,1694,778,717,696,465,107,1436,1140,855,1632,1765,1699
desc,OG0005236,12124,14508,26475,11888,44970,6223,3403,41287,24922,5494,30603,14760,1215,85862,1522,6080,62543,63856,24691,41456,3632,540,498,444,6966,11525,2289
desc,OG0005366,1552,2571,759,393,2390,736,0,1419,1168,1994,1838,1028,1338,7169,295,4140,4443,1976,1949,1004,1923,3691,2195,2149,4479,4231,1018
desc,OG0004971,4966,2466,1247,559,1453,1446,1623,2950,2612,8330,3025,4005,2516,7934,4098,4114,4310,2518,3332,2524,3234,4720,2578,2165,2996,7175,6161
desc,OG0006472,152,176,0,34,109,130,134,316,268,488,305,471,125,539,261,467,3434,322,231,164,545,776,232,217,864,351,126
desc,OG0004553,379,547,617,195,923,276,764,871,534,508,336,556,808,1031,629,323,3098,494,566,197,14856,562,469,349,61,343,312
desc,OG0004985,951,695,419,14,16,496,749,760,374,0,508,626,436,853,2559,683,364,1124,1025,982,1010,1147,889,410,613,396,199
desc,OG0006540,9177,7720,3269,493,3768,5585,972,4810,2473,2520,2890,3186,2274,4955,1995,3829,2452,4784,5942,2815,3481,2881,2930,2677,3370,3658,702
desc,OG0001760,788,1346,228,17,394,128,242,574,434,362,312,474,260,676,837,0,755,738,0,225,546,776,517,509,0,584,0
desc,OG0004908,3242,2769,940,306,53,537,1073,1729,864,2863,930,893,410,2264,2225,1802,1393,1778,1426,1206,1795,916,781,675,13,2523,214
desc,OG0003999,3878,1961,9516,1384,23,1796,2536,4386,3336,10140,4299,6075,1992,5842,6306,3409,4732,3868,4595,2510,6053,5188,4329,3444,2321,5293,446
desc,OG0007200,478,1879,5737,148,1334,238,928,861,576,1947,572,731,718,1206,1077,1028,4282,704,1042,397,1081,437,445,191,1252,737,1702
desc,OG0005787,526,830,211,29,2669,252,545,464,278,878,688,730,188,1947,1205,440,1744,413,517,498,1018,220,195,224,431,1262,156
desc,OG0005345,833,567,140,82,507,288,298,601,430,1030,882,535,283,870,548,637,540,712,551,408,412,612,321,341,1622,640,163
desc,OG0004227,1022,641,690,71,0,474,183,664,379,1858,403,280,280,2113,641,624,436,680,448,307,605,512,332,311,582,1780,106
desc,OG0005194,916,0,134,13,978,210,662,181,162,476,0,100,866,1099,459,164,583,172,263,160,551,353,105,1028,463,810,505
desc,OG0006269,3128,2266,1865,629,98,3210,2639,2343,1761,2816,3064,617,1756,337,2632,4777,1047,4054,4162,2631,2071,2945,1280,1542,2086,8385,4925
desc,OG0006803,4970,4342,2900,788,1206,1300,1198,6872,4473,4569,3658,2508,1056,14638,3152,8383,5209,3010,2428,1820,5060,3312,2671,1836,3711,5400,2775
desc,OG0000445,1730,984,490,323,7822,674,1983,1084,1513,0,3318,352,655,4060,2511,3994,5393,1309,2873,1020,215,872,821,590,1681,2271,1980
